Name,Region,ISO_3166_Num,ISO_3166,Country,Business Model,Network Sharing Architecture,Network Technology,Deployment Scenario,Otro
Liquid Telecom,Africa & Middle East,566,NGA,Nigeria,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",2
Liquid Telecom,Africa & Middle East,180,COD,Democratic Republic of the Congo,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",3
Liquid Telecom,Africa & Middle East,728,SSD,South Sudan,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",2
Liquid Telecom,Africa & Middle East,800,UGA,Uganda,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",2
Liquid Telecom,Africa & Middle East,646,RWA,Rwanda,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",3
Liquid Telecom,Africa & Middle East,834,TZA,Tanzania,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",2
Liquid Telecom,Africa & Middle East,716,ZWE,Zimbabwe,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",1
Liquid Telecom,Africa & Middle East,894,ZMB,Zambia,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",2
Liquid Telecom,Africa & Middle East,72,BWA,Botswana,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",2
Liquid Telecom,Africa & Middle East,404,KEN,Kenya,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",2
Liquid Telecom,Africa & Middle East,480,MUS,Mauritius,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",1
Brunei’s Unified National Networks,Asia Pacific,96,BRN,Brunei Darussalam,Fixed OAN,FTTH Wholesale|IP/Ethernet Services,"GPON, Ethernet","Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",2
ICASA Wireless Open Access Network (WOAN),Africa & Middle East,710,ZAF,South Africa,Single Wholesale Network,MNO/MVNO Wholesale,5G,"Rural, Ultra-Rural, Low-ARPU Urban",3
TURKCELL,Europe,792,TUR,Turkey,Mobile OAN,MNO/MVNO Wholesale | Roaming,"2G, 4G","Rural, Ultra-Rural",1
BCO Network,Europe,372,IRL,Ireland,Mobile OAN,MORAN/MOCN,5G,High-ARPU Urban,3
Bai Communication / Sunderland Smart City,Europe,826,GBR,United Kingdom,Mobile OAN,MORAN/MOCN,5G,"Low-ARPU Urban, High-ARPU Urban",6
CloudExtel,Asia Pacific,356,IND,India,Independent Mobile NaaSCo,MORAN/MOCN,"4G, 5G","Low-ARPU Urban, High-ARPU Urban",
Barathnet,Asia Pacific,356,IND,India,Fixed OAN,FTTH Wholesale |Dark Fiber Leasing,GPON,"Rural, Ultra-Rural",1
Qatar National Broadband Network (QNBN),Africa & Middle East,634,QAT,Qatar,Fixed OAN,FTTH Wholesale,GPON,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",1
